Week;Day;Steps
1;Monday;5137
1;Tuesday;7378
1;Wednesday;9346
1;Thursday;7454
1;Friday;5659
1;Saturday;6706
1;Sunday;5392
2;Monday;9028
2;Tuesday;7916
2;Wednesday;9064
2;Thursday;5114
2;Friday;9670
2;Saturday;6653
2;Sunday;5267
3;Monday;8662
3;Tuesday;7787
3;Wednesday;6630
3;Thursday;9978
3;Friday;8074
3;Saturday;7905
3;Sunday;5677
4;Monday;9556
4;Tuesday;6006
4;Wednesday;7749
4;Thursday;7934
4;Friday;5182
4;Saturday;8200
4;Sunday;9025
5;Monday;8407
5;Tuesday;6126
5;Wednesday;5480
5;Thursday;9250
5;Friday;5316
5;Saturday;5035
5;Sunday;9940
6;Monday;5356
6;Tuesday;8599
6;Wednesday;7009
6;Thursday;8003
6;Friday;6285
6;Saturday;9132
6;Sunday;7266
7;Monday;7706
7;Tuesday;8289
7;Wednesday;6864
7;Thursday;7749
7;Friday;5259
7;Saturday;7601
7;Sunday;8878
8;Monday;7507
8;Tuesday;8129
8;Wednesday;7671
8;Thursday;7503
8;Friday;8174
8;Saturday;7446
8;Sunday;5713
9;Monday;8061
9;Tuesday;5873
9;Wednesday;5891
9;Thursday;5164
9;Friday;6918
9;Saturday;7203
9;Sunday;8989
10;Monday;6578
10;Tuesday;5887
10;Wednesday;8528
10;Thursday;6284
10;Friday;8859
10;Saturday;5006
10;Sunday;5675
11;Monday;8939
11;Tuesday;9213
11;Wednesday;8823
11;Thursday;9829
11;Friday;9429
11;Saturday;6503
11;Sunday;8138
12;Monday;8503
12;Tuesday;5755
12;Wednesday;6514
12;Thursday;5416
12;Friday;9188
12;Saturday;8243
12;Sunday;9375
13;Monday;6977
13;Tuesday;9546
13;Wednesday;7773
13;Thursday;6701
13;Friday;8960
13;Saturday;7152
13;Sunday;5673
14;Monday;6210
14;Tuesday;5123
14;Wednesday;8987
14;Thursday;9158
14;Friday;9523
14;Saturday;5852
14;Sunday;9432
15;Monday;9343
15;Tuesday;6472
15;Wednesday;8821
15;Thursday;9922
15;Friday;8784
15;Saturday;8705
15;Sunday;6225
16;Monday;5035
16;Tuesday;9868
16;Wednesday;5464
16;Thursday;8166
16;Friday;7318
16;Saturday;7873
16;Sunday;8986
17;Monday;8592
17;Tuesday;7401
17;Wednesday;7851
17;Thursday;9318
17;Friday;9488
17;Saturday;8968
17;Sunday;7901
18;Monday;6230
18;Tuesday;5814
18;Wednesday;6790
18;Thursday;8582
18;Friday;7264
18;Saturday;5451
18;Sunday;6662
19;Monday;6348
19;Tuesday;8231
19;Wednesday;6692
19;Thursday;7840
19;Friday;8328
19;Saturday;5973
19;Sunday;6102
20;Monday;8388
20;Tuesday;6271
20;Wednesday;5345
20;Thursday;6397
20;Friday;5065
20;Saturday;6195
20;Sunday;8924
21;Monday;6474
21;Tuesday;8258
21;Wednesday;9539
21;Thursday;9610
21;Friday;5313
21;Saturday;5020
21;Sunday;9898
22;Monday;5661
22;Tuesday;9451
22;Wednesday;6487
22;Thursday;9117
22;Friday;8103
22;Saturday;5698
22;Sunday;8103
23;Monday;6246
23;Tuesday;8937
23;Wednesday;8481
23;Thursday;6738
23;Friday;5838
23;Saturday;5687
23;Sunday;9912
24;Monday;5223
24;Tuesday;6780
24;Wednesday;6970
24;Thursday;6037
24;Friday;6740
24;Saturday;6561
24;Sunday;8706
25;Monday;8557
25;Tuesday;7351
25;Wednesday;7494
25;Thursday;9178
25;Friday;9092
25;Saturday;8136
25;Sunday;9438
26;Monday;7324
26;Tuesday;5760
26;Wednesday;9978
26;Thursday;6742
26;Friday;8708
26;Saturday;9782
26;Sunday;8853
27;Monday;8672
27;Tuesday;9274
27;Wednesday;5714
27;Thursday;7765
27;Friday;8246
27;Saturday;7704
27;Sunday;9800
28;Monday;6352
28;Tuesday;8941
28;Wednesday;6942
28;Thursday;8632
28;Friday;9723
28;Saturday;6536
28;Sunday;8058
29;Monday;7922
29;Tuesday;9883
29;Wednesday;8233
29;Thursday;7992
29;Friday;7587
29;Saturday;6756
29;Sunday;7047
30;Monday;7088
30;Tuesday;5490
30;Wednesday;7983
30;Thursday;9576
30;Friday;5577
30;Saturday;9081
30;Sunday;8233
31;Monday;7428
31;Tuesday;7989
31;Wednesday;6833
31;Thursday;9498
31;Friday;6394
31;Saturday;9928
31;Sunday;8471
32;Monday;7351
32;Tuesday;7705
32;Wednesday;8627
32;Thursday;6781
32;Friday;8159
32;Saturday;6920
32;Sunday;6332
33;Monday;7624
33;Tuesday;6991
33;Wednesday;8670
33;Thursday;8863
33;Friday;7461
33;Saturday;6892
33;Sunday;5175
34;Monday;8084
34;Tuesday;9245
34;Wednesday;8002
34;Thursday;5535
34;Friday;7841
34;Saturday;8100
34;Sunday;7224
35;Monday;7370
35;Tuesday;7505
35;Wednesday;6431
35;Thursday;5664
35;Friday;7045
35;Saturday;7210
35;Sunday;9468
36;Monday;6681
36;Tuesday;5385
36;Wednesday;6636
36;Thursday;8919
36;Friday;8085
36;Saturday;6897
36;Sunday;6027
37;Monday;6293
37;Tuesday;5143
37;Wednesday;9857
37;Thursday;6254
37;Friday;7583
37;Saturday;5583
37;Sunday;9109
38;Monday;9515
38;Tuesday;7724
38;Wednesday;6009
38;Thursday;9788
38;Friday;6586
38;Saturday;9435
38;Sunday;7485
39;Monday;9136
39;Tuesday;5935
39;Wednesday;6037
39;Thursday;5661
39;Friday;5151
39;Saturday;5087
39;Sunday;6962
40;Monday;7792
40;Tuesday;9212
40;Wednesday;5577
40;Thursday;7691
40;Friday;7785
40;Saturday;6562
40;Sunday;9055
41;Monday;6538
41;Tuesday;9485
41;Wednesday;9098
41;Thursday;8632
41;Friday;6659
41;Saturday;8432
41;Sunday;7596
42;Monday;8419
42;Tuesday;7299
42;Wednesday;5406
42;Thursday;7985
42;Friday;7141
42;Saturday;7456
42;Sunday;5009
43;Monday;6499
43;Tuesday;8452
43;Wednesday;6015
43;Thursday;7222
43;Friday;5170
43;Saturday;6456
43;Sunday;8650
44;Monday;9821
44;Tuesday;8128
44;Wednesday;7709
44;Thursday;6067
44;Friday;9541
44;Saturday;9188
44;Sunday;7074
45;Monday;7313
45;Tuesday;9821
45;Wednesday;8330
45;Thursday;6663
45;Friday;5043
45;Saturday;6501
45;Sunday;7934
46;Monday;5540
46;Tuesday;7361
46;Wednesday;8802
46;Thursday;8977
46;Friday;7781
46;Saturday;7163
46;Sunday;8773
47;Monday;5025
47;Tuesday;6459
47;Wednesday;9658
47;Thursday;6090
47;Friday;8899
47;Saturday;6521
47;Sunday;5277
48;Monday;9538
48;Tuesday;8164
48;Wednesday;6686
48;Thursday;8169
48;Friday;9857
48;Saturday;8932
48;Sunday;6951
49;Monday;8819
49;Tuesday;9434
49;Wednesday;6748
49;Thursday;7227
49;Friday;8720
49;Saturday;5918
49;Sunday;8298
50;Monday;8957
50;Tuesday;5572
50;Wednesday;5802
50;Thursday;9779
50;Friday;7885
50;Saturday;9878
50;Sunday;9103
51;Monday;9549
51;Tuesday;6168
51;Wednesday;8022
51;Thursday;6419
51;Friday;8595
51;Saturday;9705
51;Sunday;8782
52;Monday;7753
52;Tuesday;6575
52;Wednesday;7285
52;Thursday;8035
52;Friday;9058
52;Saturday;6011
52;Sunday;8145
53;Monday;8224
53;Tuesday;5134
53;Wednesday;5881
53;Thursday;5887
53;Friday;8242
53;Saturday;8526
53;Sunday;6906
54;Monday;9178
54;Tuesday;6442
54;Wednesday;6328
54;Thursday;6507
54;Friday;5539
54;Saturday;5872
54;Sunday;9590
55;Monday;5519
55;Tuesday;7977
55;Wednesday;7509
55;Thursday;7721
55;Friday;9551
55;Saturday;8176
55;Sunday;7822
56;Monday;7799
56;Tuesday;8010
56;Wednesday;8907
56;Thursday;6971
56;Friday;9929
56;Saturday;5896
56;Sunday;7880
57;Monday;9760
57;Tuesday;7606
57;Wednesday;8374
57;Thursday;6253
57;Friday;7346
57;Saturday;5631
57;Sunday;7971
58;Monday;6657
58;Tuesday;9283
58;Wednesday;7915
58;Thursday;6555
58;Friday;5358
58;Saturday;9285
58;Sunday;8447
59;Monday;9405
59;Tuesday;9653
59;Wednesday;9357
59;Thursday;6476
59;Friday;8588
59;Saturday;6242
59;Sunday;6053
60;Monday;9390
60;Tuesday;6013
60;Wednesday;6893
60;Thursday;8526
60;Friday;9867
60;Saturday;7387
60;Sunday;8130
61;Monday;5086
61;Tuesday;5458
61;Wednesday;6335
61;Thursday;7888
61;Friday;5564
61;Saturday;8754
61;Sunday;6346
62;Monday;6710
62;Tuesday;5982
62;Wednesday;7407
62;Thursday;8202
62;Friday;8920
62;Saturday;7244
62;Sunday;5780
63;Monday;7599
63;Tuesday;5551
63;Wednesday;6630
63;Thursday;5828
63;Friday;7075
63;Saturday;8326
63;Sunday;7416
64;Monday;7853
64;Tuesday;6154
64;Wednesday;5563
64;Thursday;7188
64;Friday;5573
64;Saturday;9966
64;Sunday;9594
65;Monday;6808
65;Tuesday;7972
65;Wednesday;8576
65;Thursday;8336
65;Friday;6522
65;Saturday;9606
65;Sunday;7951
66;Monday;9961
66;Tuesday;6210
66;Wednesday;9253
66;Thursday;9358
66;Friday;7897
66;Saturday;6846
66;Sunday;6265
67;Monday;6569
67;Tuesday;6242
67;Wednesday;8340
67;Thursday;8357
67;Friday;9946
67;Saturday;7999
67;Sunday;6209
68;Monday;7153
68;Tuesday;7858
68;Wednesday;5522
68;Thursday;9498
68;Friday;9752
68;Saturday;8435
68;Sunday;7556
69;Monday;7876
69;Tuesday;6410
69;Wednesday;5347
69;Thursday;5120
69;Friday;5604
69;Saturday;8007
69;Sunday;8273
70;Monday;9675
70;Tuesday;9287
70;Wednesday;8320
70;Thursday;5510
70;Friday;9909
70;Saturday;5982
70;Sunday;6713
71;Monday;7645
71;Tuesday;9785
71;Wednesday;9081
71;Thursday;6083
71;Friday;7855
71;Saturday;9079
71;Sunday;5655
72;Monday;5713
72;Tuesday;6624
72;Wednesday;5516
72;Thursday;9783
72;Friday;9501
72;Saturday;7910
72;Sunday;9392
73;Monday;5400
73;Tuesday;9828
73;Wednesday;6129
73;Thursday;9901
73;Friday;6775
73;Saturday;5266
73;Sunday;7178
74;Monday;7654
74;Tuesday;5909
74;Wednesday;8416
74;Thursday;6549
74;Friday;7943
74;Saturday;8328
74;Sunday;8106
75;Monday;7919
75;Tuesday;5567
75;Wednesday;8433
75;Thursday;8181
75;Friday;5380
75;Saturday;5976
75;Sunday;7046
76;Monday;9504
76;Tuesday;8584
76;Wednesday;8604
76;Thursday;8622
76;Friday;9157
76;Saturday;5966
76;Sunday;9156
77;Monday;6172
77;Tuesday;7980
77;Wednesday;7058
77;Thursday;6456
77;Friday;8300
77;Saturday;5732
77;Sunday;6714
78;Monday;8368
78;Tuesday;9686
78;Wednesday;8022
78;Thursday;7381
78;Friday;5962
78;Saturday;9137
78;Sunday;5200
79;Monday;6793
79;Tuesday;9533
79;Wednesday;7613
79;Thursday;6116
79;Friday;6716
79;Saturday;5114
79;Sunday;6894
80;Monday;5529
80;Tuesday;6651
80;Wednesday;7903
80;Thursday;7800
80;Friday;8397
80;Saturday;8591
80;Sunday;9316
81;Monday;8666
81;Tuesday;9682
81;Wednesday;9310
81;Thursday;6706
81;Friday;6901
81;Saturday;8328
81;Sunday;7370
82;Monday;8157
82;Tuesday;9697
82;Wednesday;8489
82;Thursday;8999
82;Friday;7581
82;Saturday;9375
82;Sunday;8098
83;Monday;5318
83;Tuesday;9014
83;Wednesday;8873
83;Thursday;8466
83;Friday;8335
83;Saturday;9558
83;Sunday;8100
84;Monday;5242
84;Tuesday;6100
84;Wednesday;6133
84;Thursday;6887
84;Friday;6183
84;Saturday;8215
84;Sunday;8344
85;Monday;6984
85;Tuesday;9192
85;Wednesday;6809
85;Thursday;8626
85;Friday;7732
85;Saturday;5820
85;Sunday;8959
86;Monday;6446
86;Tuesday;7220
86;Wednesday;8742
86;Thursday;5564
86;Friday;5348
86;Saturday;6355
86;Sunday;5032
87;Monday;9566
87;Tuesday;7913
87;Wednesday;6558
87;Thursday;5892
87;Friday;5099
87;Saturday;5035
87;Sunday;7090
88;Monday;8383
88;Tuesday;8190
88;Wednesday;7375
88;Thursday;9335
88;Friday;5151
88;Saturday;7657
88;Sunday;9907
89;Monday;7443
89;Tuesday;7251
89;Wednesday;5774
89;Thursday;9652
89;Friday;5691
89;Saturday;7406
89;Sunday;8076
90;Monday;9360
90;Tuesday;9084
90;Wednesday;5664
90;Thursday;7487
90;Friday;9075
90;Saturday;6593
90;Sunday;8773
91;Monday;8816
91;Tuesday;8717
91;Wednesday;6237
91;Thursday;8043
91;Friday;6111
91;Saturday;9696
91;Sunday;5104
92;Monday;8884
92;Tuesday;6692
92;Wednesday;8628
92;Thursday;7508
92;Friday;5315
92;Saturday;6977
92;Sunday;9654
93;Monday;9034
93;Tuesday;7494
93;Wednesday;6151
93;Thursday;7820
93;Friday;9546
93;Saturday;8622
93;Sunday;5441
94;Monday;5667
94;Tuesday;9577
94;Wednesday;5604
94;Thursday;6024
94;Friday;8217
94;Saturday;6399
94;Sunday;5232
95;Monday;6985
95;Tuesday;5031
95;Wednesday;9875
95;Thursday;9774
95;Friday;5718
95;Saturday;5864
95;Sunday;5611
96;Monday;8532
96;Tuesday;6915
96;Wednesday;6255
96;Thursday;7034
96;Friday;9883
96;Saturday;9763
96;Sunday;8697
97;Monday;6104
97;Tuesday;7193
97;Wednesday;7601
97;Thursday;5345
97;Friday;9988
97;Saturday;8483
97;Sunday;6987
98;Monday;8747
98;Tuesday;7132
98;Wednesday;7732
98;Thursday;9166
98;Friday;8352
98;Saturday;9353
98;Sunday;9929
99;Monday;5841
99;Tuesday;7042
99;Wednesday;8794
99;Thursday;7307
99;Friday;5844
99;Saturday;7940
99;Sunday;6811
100;Monday;8697
100;Tuesday;9290
100;Wednesday;7612
100;Thursday;9565
100;Friday;6686
100;Saturday;6839
100;Sunday;9111
101;Monday;9237
101;Tuesday;7431
101;Wednesday;8529
101;Thursday;6941
101;Friday;6789
101;Saturday;9667
101;Sunday;5878
102;Monday;9125
102;Tuesday;9398
102;Wednesday;9740
102;Thursday;7071
102;Friday;7631
102;Saturday;8636
102;Sunday;7385
103;Monday;8322
103;Tuesday;9320
103;Wednesday;7219
103;Thursday;5719
103;Friday;7931
103;Saturday;8465
103;Sunday;5360
104;Monday;5208
104;Tuesday;5892
104;Wednesday;9404
104;Thursday;7253
104;Friday;7058
104;Saturday;9445
104;Sunday;8552
105;Monday;8342
105;Tuesday;8817
105;Wednesday;8017
105;Thursday;8063
105;Friday;5657
105;Saturday;9287
105;Sunday;7765
106;Monday;5768
106;Tuesday;7231
106;Wednesday;7716
106;Thursday;7176
106;Friday;5669
106;Saturday;6473
106;Sunday;9077
107;Monday;8685
107;Tuesday;7314
107;Wednesday;9993
107;Thursday;6977
107;Friday;7063
107;Saturday;9572
107;Sunday;6387
108;Monday;5799
108;Tuesday;9697
108;Wednesday;7064
108;Thursday;7084
108;Friday;6319
108;Saturday;5185
108;Sunday;7469
109;Monday;8534
109;Tuesday;5279
109;Wednesday;6626
109;Thursday;9537
109;Friday;5759
109;Saturday;5277
109;Sunday;8382
110;Monday;7248
110;Tuesday;9090
110;Wednesday;8310
110;Thursday;7417
110;Friday;8685
110;Saturday;5469
110;Sunday;7673
111;Monday;5970
111;Tuesday;6484
111;Wednesday;6611
111;Thursday;8363
111;Friday;6547
111;Saturday;7787
111;Sunday;9554
112;Monday;9518
112;Tuesday;7755
112;Wednesday;7664
112;Thursday;5415
112;Friday;8908
112;Saturday;7198
112;Sunday;8161
113;Monday;8344
113;Tuesday;8143
113;Wednesday;6204
113;Thursday;5517
113;Friday;5716
113;Saturday;9660
113;Sunday;8591
114;Monday;8663
114;Tuesday;9366
114;Wednesday;5604
114;Thursday;7852
114;Friday;9026
114;Saturday;8878
114;Sunday;7997
115;Monday;8647
115;Tuesday;9872
115;Wednesday;7719
115;Thursday;6831
115;Friday;9682
115;Saturday;5009
115;Sunday;6527
116;Monday;7505
116;Tuesday;7404
116;Wednesday;5939
116;Thursday;6592
116;Friday;5585
116;Saturday;8886
116;Sunday;6011
117;Monday;6827
117;Tuesday;6616
117;Wednesday;6134
117;Thursday;9267
117;Friday;5230
117;Saturday;5120
117;Sunday;5271
118;Monday;6860
118;Tuesday;7299
118;Wednesday;5545
118;Thursday;7233
118;Friday;6163
118;Saturday;6097
118;Sunday;5862
119;Monday;9667
119;Tuesday;7127
119;Wednesday;8096
119;Thursday;7990
119;Friday;9058
119;Saturday;9399
119;Sunday;6965
120;Monday;6709
120;Tuesday;6759
120;Wednesday;9676
120;Thursday;7839
120;Friday;6587
120;Saturday;6968
120;Sunday;7101
121;Monday;6261
121;Tuesday;8068
121;Wednesday;7179
121;Thursday;9366
121;Friday;8693
121;Saturday;8305
121;Sunday;8282
122;Monday;5102
122;Tuesday;5081
122;Wednesday;5723
122;Thursday;6963
122;Friday;8852
122;Saturday;7970
122;Sunday;5416
123;Monday;7394
123;Tuesday;5728
123;Wednesday;5246
123;Thursday;9693
123;Friday;9013
123;Saturday;6795
123;Sunday;8524
124;Monday;7260
124;Tuesday;7721
124;Wednesday;8256
124;Thursday;7368
124;Friday;6311
124;Saturday;5715
124;Sunday;6133
125;Monday;7056
125;Tuesday;6321
125;Wednesday;5152
125;Thursday;6903
125;Friday;9694
125;Saturday;6759
125;Sunday;6650
126;Monday;8763
126;Tuesday;8244
126;Wednesday;6374
126;Thursday;7846
126;Friday;7082
126;Saturday;6240
126;Sunday;9948
127;Monday;9320
127;Tuesday;7528
127;Wednesday;5577
127;Thursday;8066
127;Friday;8383
127;Saturday;9205
127;Sunday;5610
128;Monday;7343
128;Tuesday;6815
128;Wednesday;5832
128;Thursday;9913
128;Friday;9533
128;Saturday;5271
