Date;Morning;Noon;Evening;Average
2020-01-01;11.5415;11.4400;3.5672;8.8496
2020-01-02;7.9542;9.7905;11.7421;9.8289
2020-01-03;9.7310;6.5442;8.1725;8.1492
2020-01-04;10.7312;3.5100;10.4797;8.2403
2020-01-05;5.8042;11.0534;7.4205;8.0927
2020-01-06;6.6200;9.3229;10.2232;8.7220
2020-01-07;11.3602;8.2391;10.0913;9.8969
2020-01-08;7.4313;8.8650;6.4606;7.5856
2020-01-09;7.0256;10.9841;4.0530;7.3542
2020-01-10;6.1986;4.1257;7.5278;5.9507
2020-01-11;5.0194;9.6952;6.6040;7.1062
2020-01-12;10.4979;6.2750;4.2013;6.9914
2020-01-13;7.0035;5.0139;10.0021;7.3398
2020-01-14;9.5239;5.8589;5.1031;6.8286
2020-01-15;11.1044;8.2666;3.9629;7.7780
2020-01-16;11.9138;10.7465;3.6709;8.7771
2020-01-17;8.9026;4.8749;9.2220;7.6665
2020-01-18;9.5075;5.2770;11.2207;8.6684
2020-01-19;10.1098;10.3437;7.2115;9.2217
2020-01-20;8.5305;11.1870;7.8385;9.1853
2020-01-21;4.6936;11.1314;11.4553;9.0934
2020-01-22;11.4352;9.0679;5.6388;8.7140
2020-01-23;6.5130;6.4309;10.1563;7.7001
2020-01-24;6.9874;11.8826;6.7526;8.5409
2020-01-25;7.5845;8.3271;4.3057;6.7391
2020-01-26;10.3975;8.7315;6.8313;8.6534
2020-01-27;10.4127;8.3728;4.0416;7.6090
2020-01-28;6.4754;5.7525;6.9755;6.4011
2020-01-29;6.4509;9.5353;5.1734;7.0532
2020-01-30;10.8240;4.1329;9.0610;8.0060
2020-01-31;8.0399;10.2135;7.8080;8.6871
2020-02-01;9.0610;8.3763;4.0428;7.1600
2020-02-02;7.5151;7.2878;8.9296;7.9108
2020-02-03;5.9871;6.4542;10.4770;7.6394
2020-02-04;10.8849;6.9232;4.9551;7.5877
2020-02-05;4.1273;4.0449;11.1578;6.4433
2020-02-06;4.3961;5.2174;6.6895;5.4343
2020-02-07;11.4211;5.9285;4.1706;7.1734
2020-02-08;6.6966;3.8758;6.3146;5.6290
2020-02-09;4.8325;10.0233;10.4941;8.4500
2020-02-10;8.5690;6.1578;9.8778;8.2015
2020-02-11;5.9209;3.9421;3.7137;4.5256
2020-02-12;11.2517;9.5814;3.5782;8.1371
2020-02-13;9.8343;10.5107;6.4666;8.9372
2020-02-14;10.0479;3.6004;4.1581;5.9355
2020-02-15;3.8880;11.8484;4.5392;6.7585
2020-02-16;8.1211;11.8600;8.6056;9.5289
2020-02-17;6.9747;11.4272;8.7419;9.0479
2020-02-18;6.3189;4.0615;9.2635;6.5480
2020-02-19;8.3815;8.9719;4.9537;7.4357
2020-02-20;5.7014;9.6363;10.6916;8.6764
2020-02-21;7.5942;9.8950;10.5961;9.3618
2020-02-22;7.6549;9.3907;5.6942;7.5799
2020-02-23;5.6232;5.5234;3.6643;4.9370
2020-02-24;9.1808;3.6495;6.4722;6.4342
2020-02-25;9.2639;3.7653;4.0906;5.7066
2020-02-26;3.6420;8.8120;6.1949;6.2163
2020-02-27;4.8070;9.2279;4.3057;6.1135
2020-02-28;4.5969;5.7061;6.2168;5.5066
2020-02-29;3.8067;10.0570;11.5827;8.4821
2020-03-01;9.1492;10.9032;7.0673;9.0399
2020-03-02;10.5306;11.6041;10.1534;10.7627
2020-03-03;9.3114;8.0785;6.9756;8.1218
2020-03-04;9.3045;10.4687;7.7357;9.1696
2020-03-05;5.3036;6.1982;5.9847;5.8288
2020-03-06;11.7245;5.2082;4.0685;7.0004
2020-03-07;9.7239;11.8149;8.6933;10.0774
2020-03-08;10.3799;3.7255;11.2602;8.4552
2020-03-09;9.8738;10.3956;6.3407;8.8700
2020-03-10;4.7796;11.6443;11.8260;9.4166
2020-03-11;6.2353;5.3513;5.8741;5.8202
2020-03-12;8.4952;9.7652;11.4809;9.9138
2020-03-13;10.0005;11.2542;4.7887;8.6811
2020-03-14;5.0482;4.2419;5.8574;5.0492
2020-03-15;7.8686;3.6280;8.7243;6.7403
2020-03-16;10.2616;9.1147;10.8153;10.0639
2020-03-17;6.0564;7.2924;7.2462;6.8650
2020-03-18;11.6752;3.5976;4.3691;6.5473
2020-03-19;8.6689;10.4951;11.6137;10.2592
2020-03-20;10.4010;8.7658;9.5351;9.5673
2020-03-21;4.9523;7.3784;10.4497;7.5935
2020-03-22;8.3466;11.3350;4.9215;8.2010
2020-03-23;7.0665;6.2269;9.3979;7.5638
2020-03-24;7.1737;8.1722;8.8719;8.0726
2020-03-25;10.2605;6.9578;10.2920;9.1701
2020-03-26;5.2329;4.1343;7.7555;5.7076
2020-03-27;5.7459;10.9705;11.8741;9.5302
2020-03-28;10.4491;9.8635;7.6588;9.3238
2020-03-29;10.2170;11.0954;9.7449;10.3524
2020-03-30;11.9569;6.2949;5.5053;7.9190
2020-03-31;9.9475;11.3652;9.7184;10.3437
2020-04-01;11.7372;5.7453;8.8957;8.7927
2020-04-02;10.2864;10.7574;10.9565;10.6668
2020-04-03;4.1625;7.1352;8.4171;6.5716
2020-04-04;7.3532;10.6289;7.6161;8.5327
2020-04-05;6.3615;7.8578;8.3468;7.5220
2020-04-06;10.9448;10.2566;9.6709;10.2908
2020-04-07;9.7181;10.5129;4.5753;8.2688
2020-04-08;10.9932;10.2411;8.1115;9.7819
2020-04-09;3.5489;5.8964;5.2128;4.8860
2020-04-10;9.9504;7.2874;4.2221;7.1533
2020-04-11;6.6978;5.4914;5.8532;6.0141
2020-04-12;5.4079;6.3002;9.1183;6.9421
2020-04-13;3.5612;5.4460;10.6170;6.5414
2020-04-14;9.7298;5.0716;10.1264;8.3093
2020-04-15;11.8863;4.8531;9.1659;8.6351
2020-04-16;8.9721;9.7681;9.4303;9.3902
2020-04-17;4.4369;3.8092;10.1021;6.1161
2020-04-18;7.1765;8.7914;7.1166;7.6948
2020-04-19;4.7504;5.6364;6.9576;5.7815
2020-04-20;5.2111;10.5578;7.7622;7.8437
2020-04-21;7.5833;8.8382;8.7975;8.4063
2020-04-22;7.1290;4.8271;8.7206;6.8922
2020-04-23;5.6775;3.5928;5.4235;4.8979
2020-04-24;5.7148;10.5953;5.3830;7.2310
2020-04-25;10.8465;4.4676;5.1954;6.8365
2020-04-26;8.6056;5.9300;8.0412;7.5256
2020-04-27;11.9330;5.4054;6.2966;7.8783
2020-04-28;3.8433;6.3536;11.2582;7.1517
2020-04-29;10.1399;4.3017;3.5608;6.0008
2020-04-30;10.1308;5.7249;11.6320;9.1626
2020-05-01;9.6890;9.9703;10.1804;9.9466
2020-05-02;6.4457;10.1572;7.7224;8.1084
2020-05-03;11.0143;10.7827;6.8683;9.5551
2020-05-04;5.6695;6.8939;8.4676;7.0103
